Scenario_A,Scenario_B,Pair,Best_Model,Best_Accuracy,Best_F1_Score,Best_ROC_AUC,Best_CV_AUC_Mean,Best_CV_AUC_Std,Num_Features,Num_Samples
7,9,S7_vs_S9,Random Forest,0.8194444444444444,0.8266666666666667,0.9158950617283952,0.8022959183673469,0.01940704598814152,55,352
7,8,S7_vs_S8,Random Forest,0.8611111111111112,0.868421052631579,0.9047067901234568,0.7280801209372638,0.0479397579251694,55,351
3,7,S3_vs_S7,Random Forest,0.7638888888888888,0.7536231884057971,0.8614969135802468,0.7682586923658352,0.07299691175400176,55,349
2,7,S2_vs_S7,Random Forest,0.7361111111111112,0.7397260273972602,0.8533950617283952,0.7307397959183674,0.061074699842485064,55,352
1,7,S1_vs_S7,Logistic Regression,0.7361111111111112,0.7466666666666667,0.8310185185185185,0.7598828420256992,0.07208492808812945,55,351
4,7,S4_vs_S7,Random Forest,0.7638888888888888,0.7605633802816901,0.8217592592592592,0.7365221088435374,0.03535298703052109,55,351
6,9,S6_vs_S9,AdaBoost,0.6944444444444444,0.6944444444444444,0.8125,0.6317602040816327,0.05615085088382099,55,352
3,5,S3_vs_S5,Logistic Regression,0.7083333333333334,0.7272727272727273,0.8094135802469136,0.6246787603930462,0.061237861654813715,55,349
5,9,S5_vs_S9,AdaBoost,0.7777777777777778,0.7948717948717948,0.802854938271605,0.582780612244898,0.08007969596047966,55,352
5,8,S5_vs_S8,Random Forest,0.6944444444444444,0.7105263157894737,0.7897376543209877,0.6297619047619047,0.08679798777692485,55,351
4,5,S4_vs_S5,Random Forest,0.7083333333333334,0.676923076923077,0.7777777777777778,0.5914871504157219,0.07595847511073538,55,351
2,5,S2_vs_S5,Logistic Regression,0.6527777777777778,0.691358024691358,0.7445987654320988,0.588265306122449,0.046742880933366204,55,352
6,8,S6_vs_S8,AdaBoost,0.6527777777777778,0.6753246753246753,0.7345679012345678,0.6176540060468632,0.06740327317950232,55,351
1,5,S1_vs_S5,Logistic Regression,0.6527777777777778,0.6666666666666666,0.7276234567901234,0.6371787603930461,0.04195292647170155,55,351
3,6,S3_vs_S6,AdaBoost,0.6666666666666666,0.6363636363636364,0.7087191358024691,0.6068310657596372,0.038105491037688385,55,349
2,8,S2_vs_S8,SVM (RBF),0.6388888888888888,0.6388888888888888,0.7021604938271605,0.5613473167044596,0.09238512880806185,55,351
1,6,S1_vs_S6,Logistic Regression,0.6388888888888888,0.6388888888888888,0.6890432098765432,0.6172052154195011,0.06990608510328437,55,351
3,9,S3_vs_S9,KNN,0.6388888888888888,0.6285714285714286,0.6778549382716049,0.5842120181405897,0.022542155037808192,55,349
8,9,S8_vs_S9,AdaBoost,0.6111111111111112,0.6216216216216216,0.6743827160493827,0.5442413076341647,0.03382744166926818,55,351
4,9,S4_vs_S9,AdaBoost,0.6527777777777778,0.6575342465753424,0.6712962962962964,0.5526974678760392,0.04521339593362925,55,351
2,6,S2_vs_S6,Random Forest,0.5138888888888888,0.4927536231884058,0.6674382716049383,0.6302295918367347,0.020381838889514312,55,352
2,9,S2_vs_S9,Gradient Boosting,0.5972222222222222,0.5797101449275363,0.6651234567901234,0.5145408163265306,0.09881574382989142,55,352
5,7,S5_vs_S7,Logistic Regression,0.5694444444444444,0.6075949367088608,0.6643518518518519,0.5854591836734694,0.06710686958145869,55,352
4,6,S4_vs_S6,AdaBoost,0.6111111111111112,0.5882352941176471,0.6450617283950617,0.6162320483749055,0.06153363691077722,55,351
4,8,S4_vs_S8,AdaBoost,0.625,0.6197183098591549,0.6439043209876543,0.4716553287981859,0.04172988805869494,55,350
2,4,S2_vs_S4,Stacking (RF+XGB+LGBM+SVM),0.5694444444444444,0.5373134328358209,0.6358024691358025,,,55,351
3,8,S3_vs_S8,Random Forest,0.6,0.6,0.6326530612244898,0.534297052154195,0.04368245774537791,55,348
1,9,S1_vs_S9,Logistic Regression,0.6111111111111112,0.5757575757575758,0.628858024691358,0.5475151171579743,0.05805092308712685,55,351
6,7,S6_vs_S7,Gradient Boosting,0.5833333333333334,0.5714285714285714,0.6157407407407407,0.5642857142857143,0.05779961506683431,55,352
3,4,S3_vs_S4,XGBoost,0.5555555555555556,0.5675675675675675,0.6018518518518519,0.5609504913076342,0.06584529687759773,55,348
1,4,S1_vs_S4,XGBoost,0.5833333333333334,0.5588235294117647,0.5964506172839507,0.45189909297052144,0.05786410643749103,55,350
2,3,S2_vs_S3,XGBoost,0.5,0.47058823529411764,0.5887345679012346,0.5689247921390779,0.0590266917324656,55,349
5,6,S5_vs_S6,XGBoost,0.5833333333333334,0.5945945945945946,0.5779320987654322,0.4946428571428571,0.03996562454605335,55,352
1,3,S1_vs_S3,KNN,0.5428571428571428,0.5675675675675675,0.5677551020408164,0.5525179516250945,0.06833556996682778,55,348
1,2,S1_vs_S2,Gradient Boosting,0.5555555555555556,0.5428571428571428,0.5478395061728396,0.556698790627362,0.05105656455206803,55,351
1,8,S1_vs_S8,Gradient Boosting,0.42857142857142855,0.42857142857142855,0.47346938775510206,0.5811224489795919,0.03470325503519066,55,350
