channel,subband,correlation,p_value
Cz,High_Beta,0.0669499727043349,0.23682786044796064
C4,High_Beta,0.050129807859351894,0.3958549628091482
Cz,Mu,-0.030183549003007973,0.5941428399419715
C4,Mu,-0.029998633381391412,0.6072184845651851
C3,Low_Beta,0.029362350812455643,0.6221913282230906
C3,Gamma,0.028628108031372942,0.6202176366683911
C4,Low_Beta,0.026805216000209596,0.6443344774905112
Cz,Low_Beta,-0.0240003849159999,0.6793672865312095
Cz,Gamma,-0.02345244265493839,0.6954749756670889
C3,Mu,-0.02131082294531796,0.7140835253416689
C4,Gamma,0.008615916189169468,0.8840488866549974
C3,High_Beta,0.0009763115643705847,0.9863406437993955
