feature,importance
C4_Gamma_chain_transitions,0.1483657194779943
C4_Gamma_chain_ratio,0.1252784239377223
C4_Gamma_chain_ones_ratio,0.11261957751456209
Cz_Gamma_chain_entropy,0.06757940085825012
C4_Gamma_chain_len,0.05895792820352653
Cz_Gamma_chain_ones,0.05195169156889685
Cz_Gamma_chain_ratio,0.04608230340491101
Cz_Gamma_chain_len,0.04229535548320438
C4_Gamma_chain_longest_run1,0.03919085835550477
C3_Gamma_chain_entropy,0.037205706896281075
C3_Gamma_chain_ratio,0.03663405664658864
C3_Gamma_chain_zeros,0.03259537587120806
Cz_Gamma_chain_transitions,0.02984622806443785
C4_Gamma_chain_ones,0.027050203476907352
Cz_Gamma_chain_ones_ratio,0.025912049953682535
C4_Gamma_chain_zeros,0.024274438338987778
Cz_Gamma_chain_longest_run0,0.021736827886308575
C3_Gamma_chain_len,0.020608231198788348
C3_Gamma_chain_transitions,0.013731011191616776
C3_Gamma_chain_longest_run0,0.009184797045064865
C3_Gamma_chain_ones_ratio,0.007443396001372701
Cz_Gamma_chain_longest_run1,0.007283933091703626
C3_Gamma_chain_ones,0.006369946174205317
C4_Gamma_chain_entropy,0.0036754839212602658
C4_Gamma_chain_longest_run0,0.002065679412165018
Cz_Gamma_chain_zeros,0.0014070522289635406
C3_Gamma_chain_longest_run1,0.0006543237958854322
