feature,correlation,p_value,abs_correlation
Cz_Gamma_chain_entropy,0.08179228531566053,0.15761500694131653,0.08179228531566053
C4_Gamma_chain_transitions,-0.058104494244389654,0.31583883980267474,0.058104494244389654
C3_Gamma_chain_entropy,0.05199179317198841,0.3695204733028123,0.05199179317198841
C4_Gamma_chain_ratio,-0.04248961858720703,0.4634360580487469,0.04248961858720703
C4_Gamma_chain_longest_run0,0.03859160752777234,0.5054853194739756,0.03859160752777234
Cz_Gamma_chain_longest_run0,0.03725596257971547,0.5203399143688251,0.03725596257971547
C4_Gamma_chain_ones,-0.034921150482920174,0.5468341695640718,0.034921150482920174
C3_Gamma_chain_ones,-0.03346910810792822,0.5636397637474085,0.03346910810792822
C4_Gamma_chain_ones_ratio,-0.031572313356144244,0.5859588954015882,0.031572313356144244
C3_Gamma_chain_len,-0.029913673465662066,0.6058037398164621,0.029913673465662066
C3_Gamma_chain_transitions,-0.02639177321365245,0.6489006811802382,0.02639177321365245
C4_Gamma_chain_len,-0.024690911051226273,0.6701524914924674,0.024690911051226273
C3_Gamma_chain_zeros,-0.023725505951891185,0.6823342608611657,0.023725505951891185
C3_Gamma_chain_ratio,-0.022333878924966605,0.7000393971442983,0.022333878924966605
Cz_Gamma_chain_ratio,-0.01974762999665664,0.7333713718154632,0.01974762999665664
C3_Gamma_chain_longest_run0,0.019314658252490888,0.7390028047369049,0.019314658252490888
C4_Gamma_chain_longest_run1,-0.019243927564082997,0.7399240952704808,0.019243927564082997
Cz_Gamma_chain_ones_ratio,-0.01814698866608062,0.7542588731183426,0.01814698866608062
C3_Gamma_chain_ones_ratio,-0.017843262555015553,0.7582431375379611,0.017843262555015553
Cz_Gamma_chain_transitions,-0.017267475507415118,0.7658137657837013,0.017267475507415118
C4_Gamma_chain_entropy,-0.015420895671213616,0.7902403490852442,0.015420895671213616
C4_Gamma_chain_zeros,-0.013952501009466678,0.8098130225121529,0.013952501009466678
Cz_Gamma_chain_longest_run1,0.012901711663581363,0.8238930921783718,0.012901711663581363
Cz_Gamma_chain_ones,-0.009878192504349141,0.8647072086229934,0.009878192504349141
C3_Gamma_chain_longest_run1,-0.00820220818513933,0.8874941464969159,0.00820220818513933
Cz_Gamma_chain_len,-0.005618521203858105,0.9227977520151903,0.005618521203858105
Cz_Gamma_chain_zeros,-0.0016115043540299314,0.9778252006300647,0.0016115043540299314
