,count,mean,std,min,25%,50%,75%,max,cv
C4_Gamma_chain_len,300.0,67.66994444444444,15.648134791152936,50.0,57.0,63.0,73.05,143.0,0.23124202213583486
C3_Gamma_chain_len,300.0,67.30605555555555,15.6023286774895,45.0,57.0,63.0,72.0,143.0,0.23181166313647775
Cz_Gamma_chain_len,300.0,67.4621111111111,15.510373699408579,45.0,57.0,62.58333333333333,73.0,142.0,0.2299123677565139
C3_Gamma_chain_transitions,300.0,40.574666666666666,10.053567640223248,23.0,34.0,37.666666666666664,44.0,90.0,0.24777942657709034
C4_Gamma_chain_transitions,300.0,40.82483333333334,9.946019437328413,26.0,34.375,38.0,45.0,88.0,0.2436267003497482
Cz_Gamma_chain_transitions,300.0,40.818222222222225,9.623066407613855,25.666666666666668,35.0,38.16666666666667,44.0625,78.66666666666667,0.23575417751473932
C3_Gamma_chain_zeros,300.0,34.07305555555556,8.86836833931328,21.0,28.666666666666668,32.0,36.5625,89.0,0.2602751116598143
C4_Gamma_chain_zeros,300.0,34.41761111111111,8.411569647572287,21.666666666666668,29.0,32.5,37.0,67.0,0.24439725408068091
Cz_Gamma_chain_ones,300.0,33.376888888888885,8.360051324270207,19.0,28.0,31.0,36.0,73.25,0.250474253370369
C4_Gamma_chain_ones,300.0,33.35511111111111,8.101576305568937,17.0,28.3125,31.333333333333332,36.0,76.0,0.24288860194712936
