subject_id,task,channel,subband,scenario,scenario_num,mav,variance
id1,resting,C3,High_Beta,scenario1,1,5.082302137,8.879493958e-05
id1,resting,C3,High_Beta,scenario2,2,4.768486319,0.0001118458638
id1,resting,C3,High_Beta,scenario3,3,7.801122902,0.0001485202693
id1,resting,C3,High_Beta,scenario4,4,1.594918708,1.34390492e-05
id1,resting,C3,High_Beta,scenario5,5,5.482535646,0.0001596719806
id1,resting,C3,High_Beta,scenario6,6,4.407749867,8.014845573e-05
id1,resting,C3,High_Beta,scenario7,7,1.609396736,3.468768318e-05
id1,resting,C3,High_Beta,scenario8,8,0.03485562592,4.01508789e-08
id1,resting,C3,High_Beta,scenario9,9,2.886457601,1.91415944e-05
id1,resting,C3,Low_Beta,scenario1,1,3.395973984,3.444332171e-05
id1,resting,C3,Low_Beta,scenario2,2,4.775144608,8.795059585e-05
id1,resting,C3,Low_Beta,scenario3,3,4.832168897,4.813790988e-05
id1,resting,C3,Low_Beta,scenario4,4,1.535426044,1.352162222e-05
id1,resting,C3,Low_Beta,scenario5,5,4.243839758,5.098559415e-05
id1,resting,C3,Low_Beta,scenario6,6,3.166919414,3.055726469e-05
id1,resting,C3,Low_Beta,scenario7,7,1.26095404,1.055350157e-05
id1,resting,C3,Low_Beta,scenario8,8,0.04359463922,2.96328631e-08
id1,resting,C3,Low_Beta,scenario9,9,1.376256905,3.287107386e-06
id1,resting,C3,Mu,scenario1,1,3.931532545,5.4688663e-05
id1,resting,C3,Mu,scenario2,2,5.059984854,7.253137787e-05
id1,resting,C3,Mu,scenario3,3,6.064388067,7.643701247e-05
id1,resting,C3,Mu,scenario4,4,1.976480405,1.529453717e-05
id1,resting,C3,Mu,scenario5,5,5.650069068,9.83910859e-05
id1,resting,C3,Mu,scenario6,6,3.17961569,4.060584925e-05
id1,resting,C3,Mu,scenario7,7,2.06480317,2.874177943e-05
id1,resting,C3,Mu,scenario8,8,0.04411482039,3.1969218e-08
id1,resting,C3,Mu,scenario9,9,1.533352248,4.119644927e-06
id1,resting,C4,High_Beta,scenario1,1,4.15143153,4.427828272e-05
id1,resting,C4,High_Beta,scenario2,2,6.775944248,0.000201026006
id1,resting,C4,High_Beta,scenario3,3,4.488198155,3.9877359e-05
id1,resting,C4,High_Beta,scenario4,4,2.020131772,2.668936669e-05
id1,resting,C4,High_Beta,scenario5,5,8.505770718,0.0004824929988
id1,resting,C4,High_Beta,scenario6,6,0.89032942,2.536007787e-06
id1,resting,C4,High_Beta,scenario7,7,0.9024662309,1.412452802e-05
id1,resting,C4,High_Beta,scenario8,8,0.03230691442,3.45143001e-08
id1,resting,C4,High_Beta,scenario9,9,6.898365889,0.0001175595351
id1,resting,C4,Low_Beta,scenario1,1,2.680948701,1.81846167e-05
id1,resting,C4,Low_Beta,scenario2,2,5.739713728,8.559217731e-05
id1,resting,C4,Low_Beta,scenario3,3,2.962759234,1.578318491e-05
id1,resting,C4,Low_Beta,scenario4,4,2.16241275,2.407166029e-05
id1,resting,C4,Low_Beta,scenario5,5,3.475707858,4.698271165e-05
id1,resting,C4,Low_Beta,scenario6,6,0.6285964865,1.27991774e-06
