subject_id,scenario,task,channel,subband,mav,variance,baseline_power,task_power,erd_ers_pct,chain_ratio_mav,chain_ratio_variance,chain_sequence_mav,chain_sequence_variance,scenario_id
id1,scenario1,Resting,C3,High_Beta,5.082302137,8.879493958e-05,,,,0.5488,0.5305,10010101100001110110001110011010001010010101100110001101101100011111101100101010111011010011100100011010101111010110011110110100101001111101011010010110101101101010,10010101100001110110001110011010001010010101100110001101101100011111101100101010111011010011100100011010101111010100011110110100101001111101011010010110101101001000,1
id1,scenario1,Resting,C3,Low_Beta,3.395973984,3.444332171e-05,,,,0.561,0.561,10011101010101111110101101011011001011010111100101100100001010011111101100111011010010011011011001011001111110010110011110110010101001111011010010001001001000101101,10011101110101111110101100011011001011010111100101100100001010011111101100111011010010011011011001011001111110010110011110110010101001111011010010001001001000101101,1
id1,scenario1,Resting,C3,Mu,3.931532545,5.4688663e-05,,,,0.5244,0.5183,1101000101011011101100010011010011001101100101101000000011011111100101111010110010110101010100010011101110010111011110101010101001011010111010110101001010101010,1101000101011011101100010011010011001101100101101000000011011111100101111010110010110101010100010011101110010111011110101010101001011010101010110101001010101010,1
id1,scenario1,Resting,C4,High_Beta,4.15143153,4.427828272e-05,,,,0.5671,0.561,1010111101001101110011010111010011010010101000111001101100110011111100100101010111011010111100100011011001111010110010100110100101001101101100111010110101011110011,1010111101001101110011010111010011010010101000111001101100110011111100100101010111011010111100100011011001111010110010100110100101001101101100110010110101011110011,1
id1,scenario1,Resting,C4,Low_Beta,2.680948701,1.81846167e-05,,,,0.5305,0.5305,1011011101001101110001100011011011010000111000001000110101011111111100101111011110010000010110100011010101110010101011010100010101001110111101010011011010011010010,1011011101001101110001100011011011010000111000001000110101011111111100101111011110010000010110100011010101110010101011010100010101001110111101010011011010011010010,1
id1,scenario1,Resting,C4,Mu,3.282657196,2.646315822e-05,,,,0.5305,0.5427,10110011101001101111001110011011011011000111000101101000101011111111100101101010110010100101010100010000100110110101011010101010101001011001101011100010100010110011,11110011101001101111001110011011011011000111000101101000101011111111100101101010110010100101010100010000100110100111011010101010101001011001101011100010110010110011,1
id1,scenario1,Resting,CZ,High_Beta,6.597785932,0.0001282090953,,,,0.5427,0.5488,10010110000001101100100110101011011010010111100110001101101100011111101100011010110010010101001001011010101111010110010110110100101011011111010110010101101101101001,10010110010101101100100110101010011010010111100110001101101100011111101100011010110010010101001001011010101111010110010110110100101011111111010110010001101101101001,1
id1,scenario1,Resting,CZ,Low_Beta,2.703202638,1.514065826e-05,,,,0.5671,0.5671,11101010100101101100101101011010011011000111100101100100001010011111101101111010110010010101100111011000101110010111011010110010101011111111101010100010110100101101,11101010100101101100101101011010011011000111100101100100001010011111101101111010110010010101100111011000101110010111011010110010101011111111101010100010110100101101,1
id1,scenario1,Resting,CZ,Mu,3.467530577,2.423415743e-05,,,,0.5183,0.5244,1000011001101101010100101010100011101001111100101101000100011011111101101111010110010110001101010010000101110010111011010101010101011010111101010010110010010101000,1000011001101101010100101010100011101001111100101101000100011011111101101111010110010110001101010010001101110010111011010101010101011010111101010010110010010101000,1
id1,scenario1,Thinking,C3,High_Beta,13.16664599,0.0003314100055,0.06468859528,0.025507632189999997,-605685.7924,0.5119,0.5,100101000110001001011101001011000010111101011100110010111011010110001101011100110001,100101000110001001011101001001000010111111011100110010111011000110001101011100110001,1
