source_file,task,feature_type,channel,source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31
resting_mav_normal - C3.csv,resting,mav,C3,1,,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
resting_mav_normal - C3.csv,resting,mav,C3,2,,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
resting_mav_normal - C3.csv,resting,mav,C3,3,,id1,5.082302137,4.768486319,7.801122902,1.594918708,5.482535646,4.407749867,1.609396736,0.03485562592,2.886457601,id1,3.395973984,4.775144608,4.832168897,1.535426044,4.243839758,3.166919414,1.26095404,0.04359463922,1.376256905,id1,3.931532545,5.059984854,6.064388067,1.976480405,5.650069068,3.17961569,2.06480317,0.04411482039,1.533352248
resting_mav_normal - C3.csv,resting,mav,C3,4,,id10,2.022243089,5.781643558,1.667310019,1.471553288,4.358625897,4.936050188,2.744933129,2.10735465,6.145936537,id10,2.185094525,3.647303165,1.077736408,0.6372858804,2.337920854,4.219218359,1.164986195,2.629288737,7.733339757,id10,2.68134475,4.485983953,1.394099805,1.594274713,2.842509592,5.073128484,1.102969474,3.397712945,11.55789877
resting_mav_normal - C3.csv,resting,mav,C3,5,,id100,2.481056835,6.131243208,6.222645446,3.073695251,4.818238239,7.929071676,4.896046368,7.349659767,4.456751613,id100,2.624564748,4.638511947,5.016785793,2.774417274,4.365936868,7.471403794,5.893270298,5.551405088,5.023243841,id100,2.346949609,6.902757518,7.523771063,5.601082598,4.256313607,9.468072551,5.703024894,7.206359455,6.367478168
resting_mav_normal - C3.csv,resting,mav,C3,6,,id101,6.91104901,9.129256285,13.84208784,8.567885068,8.583005346,8.951669119,10.90199015,11.59916582,10.7371765,id101,4.899626723,9.286908759,11.07742009,5.391640144,5.141592376,6.93523048,9.250231818,6.857450093,8.32291499,id101,6.598355999,11.50767364,8.956903765,7.15027591,6.777043548,7.440226482,8.894440523,7.188938071,8.712949955
resting_mav_normal - C3.csv,resting,mav,C3,7,,id102,17.0339388,13.86519896,15.93529479,19.57626638,11.87058169,19.20535699,14.66281987,7.60157544,3.528935979,id102,13.78536885,9.307842174,12.8131833,13.18648101,8.923329057,11.65918417,12.80270231,5.057415708,2.400333539,id102,14.91257083,10.31198706,15.31909746,19.14474234,11.19423887,17.00333925,13.32136674,5.426228321,2.706281204
resting_mav_normal - C3.csv,resting,mav,C3,8,,id103,13.77607104,13.91534506,10.97740275,11.87858284,16.62534129,13.49496793,5.385009536,8.944539789,12.85196377,id103,12.60435849,18.19740874,11.20609841,9.234037012,13.248379,11.14026084,7.15973824,8.976421211,13.16285935,id103,14.78513102,19.08340009,17.14799288,21.51895767,18.20687845,26.01989483,5.321788521,13.42267226,21.8032456
resting_mav_normal - C3.csv,resting,mav,C3,9,,id104,10.69823003,14.17334748,12.53342429,6.207848214,5.14933698,12.15570205,8.554925427,11.91393743,11.81216316,id104,11.09433706,11.43834539,12.18790205,6.340464802,5.574089014,10.66452673,10.61173553,20.33159731,9.559505017,id104,14.97625749,12.71168379,15.47908655,9.059032788,6.705229594,16.4769163,21.22592335,18.30523951,11.8439123
resting_mav_normal - C3.csv,resting,mav,C3,10,,id105,9.19000327,9.335558553,4.980406612,12.40506809,11.73528942,10.52757592,13.97412705,15.01406258,16.66770355,id105,6.218376724,5.73798781,3.620121552,10.52044503,9.575402817,8.947602214,10.85972657,10.74838182,20.10309259,id105,7.644445947,7.520381864,3.685520382,9.559403469,9.691496063,7.421790938,9.196204128,12.92000472,14.44044093
