,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,4.15143153,6.775944248,4.488198155,2.020131772,8.505770718,0.89032942,0.9024662309,0.03230691442,6.898365889,id1,2.680948701,5.739713728,2.962759234,2.16241275,3.475707858,0.6285964865,1.111426619,0.04042785248,2.597264789,id1,3.282657196,8.009283497,3.263121196,2.206693704,5.100157777,0.8068075113,1.908975018,0.04088872152,3.428827349
,id10,4.659582753,4.74606043,12.44499121,3.50629349,13.07181525,10.06002046,0.5175424972,7.418422184,16.49124238,id10,3.465740841,3.556375771,8.427635524,2.524986489,11.97305934,7.187616436,0.1719908076,5.187677782,9.822135908,id10,3.809741639,3.905196993,10.00659774,2.590152649,17.75548491,12.42086252,0.159634419,7.999669581,13.03772513
,id100,18.43072164,11.53175378,13.98989426,15.69765066,9.510478751,12.28271946,14.43458498,13.84755361,4.080605344,id100,18.59214363,9.641276963,16.31211479,13.78802324,8.272595486,14.73954945,10.55089378,14.87452514,5.493498605,id100,23.30238013,11.99519242,19.99397768,19.00881112,11.80562407,17.2218211,12.10274417,14.40519585,6.262740399
,id101,11.66835259,11.57276485,8.615093837,10.7067872,13.06361395,16.25626094,13.49195839,19.06644058,18.55159327,id101,7.308417162,9.064819958,5.471320262,7.561531794,8.844797887,9.229935734,7.811964687,12.48478015,14.61273186,id101,10.71261523,12.30267597,5.194826516,7.668701514,12.18862492,12.9402765,8.380020081,16.99781237,22.03944617
,id102,22.20974499,15.92524953,17.68638657,18.02903251,18.96873745,22.43650801,20.06360777,18.70680287,16.14190684,id102,23.45444265,14.35740324,13.06821058,12.3508929,13.80233431,14.62955138,13.38660019,11.55595152,11.72844351,id102,17.4629221,16.80366455,18.91679755,16.35420839,15.83950901,13.59006034,15.2016097,15.45523359,12.43582565
,id103,7.965337423,9.227147852,14.35539533,9.412646742,13.33110048,17.21974081,17.57182882,8.811393753,11.03097668,id103,8.488259626,12.91482927,12.77124239,8.968034733,13.18337139,15.28354632,14.75226771,8.749159352,10.81599306,id103,9.262623895,15.10164045,20.40490392,8.952971086,16.58411663,27.29732775,21.85250033,10.37294876,16.86512095
,id104,15.32639744,13.91343497,12.42727444,13.07753132,4.219532132,7.418222383,12.0399236,9.650390454,10.15938902,id104,16.37839984,11.04288664,16.57490915,14.89555789,5.183711648,10.93803058,11.42397697,9.046265332,10.93780241,id104,25.33438401,21.34609555,20.09691789,18.03506517,6.923924663,14.53476034,26.29785564,17.54162694,13.99804131
,id105,9.675321196,5.742335433,4.111195715,9.670859128,12.56081564,15.40042841,11.49225981,15.34832121,16.92420282,id105,7.261910035,4.183309718,2.878761966,7.217014634,8.113747033,10.2953073,8.836090883,14.12373767,14.83103518,id105,6.733078359,3.445326554,3.638450535,8.066270361,10.05560612,9.584373889,10.3874966,15.91503339,14.4936028
,id106,7.525473538,1.448673523,4.990025008,4.455842072,9.867463336,20.07272092,16.87819382,18.75165901,4.062270911,id106,7.2526223,2.869759077,4.880188842,3.482358682,11.54534371,17.2470123,13.08363759,13.75351096,4.01854257,id106,10.0789394,3.362273987,4.24574016,4.532773611,8.575990146,15.77656417,17.64846064,17.04027136,4.323553088
