,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,6.597785932,4.79895066,11.3250744,4.092029418,3.686032756,1.14346254,0.7880823363,0.02423315403,5.295953878,id1,2.703202638,4.849762331,8.119140781,4.156824376,3.18568422,1.022043489,1.255922943,0.03032261586,2.543457121,id1,3.467530577,5.932599444,8.995475626,4.048733507,5.494267,1.122526312,2.182166075,0.03068141858,2.937543515
,id10,6.409969733,15.06914056,11.17738296,3.767130258,16.03224908,22.24081665,1.252909439,9.028218403,15.16486246,id10,3.562445402,11.29872609,10.16349841,0.8687427192,14.3175004,16.25784542,0.4164605418,5.488391142,10.51348015,id10,6.114231863,15.18424183,11.85198581,0.7999744856,21.40025378,18.83884502,0.3865945927,7.9283795,10.93710585
,id100,8.174608412,10.37126745,17.30113112,14.845634,18.98155075,17.72244539,11.10723315,13.79958672,5.675169786,id100,9.534005644,7.129755822,16.93382471,11.67737677,11.09658393,16.09002269,9.985333529,9.037557083,5.437376607,id100,12.22599781,12.82090163,19.18895345,15.78077382,17.1952138,27.19361072,10.67569651,12.54064625,8.319432466
,id101,13.60964266,12.1721876,8.005984801,13.00303635,10.83475474,15.80087084,17.66773604,16.47429472,15.41694524,id101,10.47300115,9.539280483,7.374428195,11.96950119,8.455654552,13.0874317,12.15925357,11.28836067,11.01770435,id101,13.93780609,12.56579195,9.530713889,16.8362441,10.44240584,14.34445794,18.83164628,13.29369116,15.96663541
,id102,16.1577027,16.12445584,22.07642272,16.50604488,13.08228137,19.16438532,20.67915699,17.47291519,16.46037189,id102,18.10963246,14.28785594,18.48788073,11.75638544,8.668694913,15.68672028,16.25872067,9.736219131,10.97763162,id102,16.55691788,18.03494341,23.02391692,15.72474882,14.09412416,12.65309384,17.93148566,13.31246687,13.76835126
,id103,14.66908917,19.40590245,11.63767255,10.59493334,15.7374287,21.82998055,18.30833337,12.27047157,12.55301089,id103,13.63999229,20.01561134,11.6235523,10.62886914,18.37438106,19.91926778,13.80751644,9.942737998,11.25712181,id103,14.46226287,21.22185521,14.40331735,14.88348539,17.15995523,29.73363084,26.15330384,11.6269599,16.29303961
,id104,13.03127216,13.92985403,5.838261835,11.15925957,4.519040396,8.600535006,12.31631537,14.62690723,14.77301445,id104,12.28285635,9.797019151,5.535693575,13.59914274,5.641608919,7.748420971,13.46287146,15.34352844,17.32651633,id104,25.50224675,20.06531371,9.193917381,20.98685783,8.430899222,15.71899162,22.48256187,18.94778456,18.38258369
,id105,13.35215976,13.03323598,9.29760585,12.06727219,17.19462047,21.04458709,18.1033463,19.60568516,19.07490661,id105,9.4680491,9.166687188,6.564011647,8.798786289,9.956366897,13.40657444,10.87441659,11.73448768,19.73745263,id105,9.677496944,9.453515598,7.68046168,11.33671262,10.53481005,11.78510716,11.69120705,15.28682021,15.97686807
,id106,3.123261634,0.0001375811083,6.352528316,6.533571785,0.3674134034,10.74806287,6.29886204,11.06388977,5.607608486,id106,3.227620968,0.00007015039829,5.629867117,4.45318552,0.2997093915,9.294962974,6.733076845,6.847247674,6.295564763,id106,2.745218623,0.0002577722924,7.175385663,4.451562862,0.3220817792,12.69849972,8.291514308,10.00253825,6.72956908
