,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.00004427828272,0.000201026006,0.000039877359,0.00002668936669,0.0004824929988,0.000002536007787,0.00001412452802,0.00000003451430012,0.0001175595351,id1,0.0000181846167,0.00008559217731,0.00001578318491,0.00002407166029,0.00004698271165,0.00000127991774,0.00001193088627,0.00000002548508474,0.00001173417048,id1,0.00002646315822,0.0001725335455,0.00002039707048,0.00002236398123,0.00009451971231,0.000002741847505,0.00003284241624,0.000000027460447,0.00002742791415
,id10,0.00009534194955,0.0001105027504,0.000264399762,0.00004730490409,0.0004472385778,0.0002474165477,0.0000004188137452,0.0002130478098,0.0005250103163,id10,0.00003547927672,0.00004306442467,0.0001181364501,0.00002913156472,0.0003121726085,0.0001110024151,0.00000005325022434,0.00009286406993,0.00016612322,id10,0.00004823138692,0.00004725151877,0.0001721947809,0.0000324305362,0.000721391076,0.0004061208273,0.000000039867268,0.000259717339,0.0002777178662
,id100,0.0005720937696,0.0003325160794,0.0003545874208,0.0005754651948,0.0002840076078,0.0003555992989,0.0006765847671,0.0004827966095,0.00006087075549,id100,0.0005339790152,0.0002182226278,0.0005385245404,0.0003879412546,0.0001925249877,0.0003726520874,0.0002957595848,0.0004906178953,0.0001206586749,id100,0.00085245589,0.0003664951112,0.000884685937,0.0008090090499,0.0004439331757,0.000516294527,0.0004429492125,0.0004221807433,0.0001698906498
,id101,0.0003146377277,0.0002923267064,0.0001288863085,0.0002365619219,0.0003236132846,0.0005144156791,0.0002935708366,0.0006508546781,0.0006379101684,id101,0.0000917762155,0.0001821402277,0.00005259886088,0.0001050286354,0.0001295848828,0.0001539715057,0.00009980434348,0.0002751999606,0.0003935590546,id101,0.0002717345115,0.000310729977,0.00005032971521,0.0001003851658,0.0002431429307,0.0002867460603,0.000124739554,0.0004971722816,0.0009000139309
,id102,0.0008889972703,0.0004411331715,0.0005657337341,0.0007445204022,0.0007147622922,0.0009042638314,0.0008067267761,0.0007619802213,0.0004985585453,id102,0.0009024068372,0.0003893191435,0.0002784502841,0.0003153943223,0.000355348179,0.0003581420566,0.0003344836615,0.0002710025568,0.0002240109899,id102,0.0005176919255,0.000531932581,0.000571065759,0.0005188673302,0.0004473499973,0.0002978654373,0.0004041123084,0.000454333316,0.0002504375029
,id103,0.0002471966298,0.000229624336,0.0004688744972,0.0002998094049,0.0003593027752,0.0005476233443,0.0006062604278,0.0002554039301,0.0002852046525,id103,0.0001953768331,0.0003800441404,0.0002613687729,0.0002111708539,0.000318293276,0.0003791313329,0.0003755330431,0.0001990271745,0.0002300902086,id103,0.0002550285537,0.0005151289059,0.0007528929882,0.0001949252713,0.0005458007046,0.001235337444,0.0009321560267,0.0002578645829,0.0005669088124
,id104,0.0005746663161,0.0003916601276,0.0003644868456,0.0003985755712,0.0001053928009,0.0001993812721,0.0003258303177,0.0002959801553,0.0003627507482,id104,0.000515932273,0.0002055994649,0.0004931754197,0.0004743352201,0.0001205432595,0.0003562437154,0.0002242512507,0.0001729122863,0.0002894806957,id104,0.001436118464,0.0007584692592,0.0007578670309,0.0005796994282,0.0002616927184,0.0005786211659,0.001289757046,0.0008829429725,0.0005113728559
,id105,0.0001644078427,0.00005532184943,0.00003686545105,0.0002239639362,0.0003056760052,0.0004676359665,0.0002543658095,0.0005157014102,0.0005627435639,id105,0.00008727346557,0.00002907572748,0.00001869007801,0.0001121312351,0.0001202756848,0.0001691194178,0.0001442097909,0.0003941450906,0.0004385821207,id105,0.00007718416315,0.00001856982957,0.00003183437775,0.0001659035357,0.000196677481,0.00014931944,0.0001861556804,0.0005408687472,0.0003928774219
,id106,0.0002290218621,0.00002590999289,0.0001243312523,0.00003867105461,0.0003160729113,0.0007303307079,0.0006995618859,0.0005743543655,0.00006603866517,id106,0.0001596791241,0.00006671467709,0.00008763065831,0.00002116768328,0.0004382695951,0.0005516734889,0.0003365644003,0.0003440868499,0.00006947334616,id106,0.0003412550224,0.00009708663635,0.00007868269038,0.0000374944493,0.000195080286,0.0004404839143,0.0006080178546,0.0005040042074,0.00006429351773
