,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.0001282090953,0.0001534967512,0.0002978896001,0.0000792188178,0.00007786981945,0.000004944446137,0.000007884175123,0.00000001941688921,0.00005500710706,id1,0.00001514065826,0.00007425248958,0.0001352229579,0.0000755892933,0.00003105291229,0.000004205024678,0.00001379671191,0.0000000143378195,0.00001248099804,id1,0.00002423415743,0.0001084631324,0.0001554705407,0.00008096092499,0.000121239031,0.000005758491097,0.00003451632343,0.00000001546212605,0.00001542905026
,id10,0.0002171174645,0.0005247339494,0.0002504580864,0.00002107675665,0.0005583518202,0.0008982017226,0.000002454467177,0.0003767562489,0.00049776652,id10,0.00004083037215,0.0002722066166,0.000179486155,0.000001352284045,0.0004122506232,0.0004022333583,0.0000003121477927,0.0001004103192,0.0002039718632,id10,0.0001196414905,0.0005086485239,0.0002539889177,0.0000009633944752,0.0009334212281,0.0006089900005,0.0000002338539733,0.0002207056877,0.0002009320771
,id100,0.0001607067117,0.0002530164002,0.0006208827183,0.0004909662069,0.0006856176741,0.0005577566369,0.0003768291595,0.0005173969161,0.0001303709176,id100,0.0002123747151,0.0001049681437,0.000588185371,0.0002699824211,0.0002042538563,0.0003972320963,0.0002572030819,0.0001680886097,0.00009025901688,id100,0.000365129852,0.0004682231706,0.000906322702,0.000544743615,0.0005564516926,0.001117865472,0.000270963134,0.0003833958203,0.000278781212
,id101,0.0003723522112,0.0003039264911,0.000112773814,0.0003280589951,0.0001996502332,0.0004666507582,0.000617662283,0.0004693304285,0.0004251992547,id101,0.0001650394463,0.0001755436406,0.0001189008285,0.0002554576154,0.0001235183045,0.0003803078191,0.0002290310257,0.0002283759396,0.0002023372343,id101,0.0003410684078,0.0003077467804,0.0002132275493,0.0005092070562,0.0001892721098,0.000364387486,0.0006328381931,0.0002975508349,0.0004667227347
,id102,0.0005097861482,0.0006320671867,0.0009198378022,0.0005999235146,0.0004186345977,0.0007563543138,0.000781968935,0.0006963427695,0.0004811053546,id102,0.0005328527041,0.0003954335818,0.0005988611006,0.000276122752,0.0001729153682,0.0004091506345,0.000486327416,0.0001624861964,0.0002112252485,id102,0.0004345312241,0.0006044410003,0.0009308123316,0.0005928063764,0.0004381806806,0.0002741906843,0.0005817868172,0.0003563897806,0.0003240980751
,id103,0.0004502765447,0.0007396097221,0.0003054843313,0.0003420077043,0.0005594739674,0.0007678451224,0.0006509089852,0.0004584063515,0.0003559715468,id103,0.00032723355,0.0006596994011,0.0002321671307,0.0002689912046,0.0007222148751,0.0006424449285,0.0003389621918,0.000228130825,0.0002169659343,id103,0.0003641260637,0.0007807156806,0.0003521534958,0.0005597046281,0.0005767960189,0.001556405997,0.001259803303,0.0003147380953,0.0006343522591
,id104,0.0004168507992,0.0004773655801,0.0001801820891,0.0003153550195,0.0001261354281,0.0002189570218,0.0003664202873,0.0004550484497,0.0005506200291,id104,0.0003241311823,0.000181697457,0.0001146470851,0.0003489910468,0.0001511242249,0.0001417625304,0.0003301359167,0.0004129971068,0.000574692639,id104,0.001474462397,0.0008581610419,0.00032254508,0.001071561189,0.000306144108,0.0008194173188,0.0009879614503,0.0006491184178,0.0006993814467
,id105,0.0002984718068,0.0003394991836,0.0001797680938,0.0002811154999,0.0005967185298,0.0008020832491,0.0005820253222,0.0009163272115,0.0006321925222,id105,0.0001602030179,0.0001403871696,0.00008366779141,0.0001396022466,0.0001970247058,0.0003057059808,0.0001921465016,0.0002607407797,0.0006382718428,id105,0.0001711939357,0.0001521361252,0.0001177027207,0.0002523458075,0.0001932857513,0.0002500208068,0.0002243530884,0.0004590781119,0.0004329749464
,id106,0.00009907177657,0,0.0001369034821,0.0001221049007,0.0000003602986631,0.0002703164186,0.0001789575004,0.0002221308829,0.0001506905755,id106,0.00006367025829,0,0.00009077138497,0.00004478734538,0.0000001464245662,0.0001774599801,0.0001697903387,0.00007878596034,0.000104433603,id106,0.0000397335176,0,0.0001288282436,0.0000414758371,0.000000182686973,0.0003141422388,0.0002258635588,0.0001658193538,0.0001102842102
