,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,13.16664599,5.667414316,2.702330442,2.714371692,3.074627365,12.39614264,0.4687557696,0,2.022992609,id1,2.781926162,4.110266207,1.664664989,1.764158244,3.929368791,6.465203396,0.3510815762,0,1.380801313,id1,3.048139877,6.111616826,1.849646406,2.017124052,4.396202496,6.342204395,0.4425381719,0,2.435353407
,id10,0.1398137451,6.37536819,0.959979502,1.063628044,2.860581647,4.581008967,3.497612844,3.888244689,4.242195621,id10,0.06526979553,1.607469328,0.6325250013,1.456445994,2.188146535,4.194337172,3.274364489,3.878119447,4.311779529,id10,0.0710315985,1.803179755,0.8624949747,2.053966427,2.591590168,5.39308846,3.172641835,5.219251491,4.803617911
,id100,0.8170649299,4.486699773,1.984501724,0.7059838338,2.933583566,5.864146112,5.852266187,4.7025933,5.792630968,id100,0.703196565,3.587926988,1.530280578,0.6085671627,2.743335105,6.006630064,7.578518787,5.629678814,5.730719224,id100,0.6888095881,3.805999916,2.028691668,0.8763833531,2.274711506,5.874343111,8.919530361,5.521618818,8.809856478
,id101,11.84077758,6.672405971,16.41092241,11.64631383,7.587480179,13.01344528,12.60899436,9.562994163,18.27836375,id101,10.60271476,4.078903308,13.25463865,7.562894226,6.996634079,8.40920115,10.65849566,7.81876156,12.71830849,id101,12.66419605,5.376639488,14.49103115,11.56524243,5.151753033,14.01798594,12.62953915,9.511814353,14.54118566
,id102,18.57001514,18.68226446,19.82572131,8.618182796,14.83557861,16.387215,26.99758966,6.732636944,2.364947413,id102,16.99101959,13.06141074,11.73832952,7.049488303,10.00955962,13.43450075,22.36331244,3.968606204,1.264187947,id102,15.1600489,11.93573809,19.83312772,5.833947119,16.32459379,19.76648108,25.48064759,4.662806722,1.160864336
,id103,25.23129375,17.87660199,17.72220248,6.564770469,22.06419174,17.01501195,15.37042676,1.144137029,7.857119492,id103,14.852299,15.2572588,14.0447331,6.994362354,14.7026936,14.88861335,11.7667373,1.327242003,5.411172641,id103,33.90496786,22.32091184,37.46598537,13.6815468,28.09500759,21.85998946,23.56135444,1.108414153,8.720625253
,id104,15.39797389,14.67738409,14.92828884,9.246936789,0.0001871993657,16.05348299,17.01920342,18.06540506,17.58986438,id104,14.83443888,11.20191222,15.50287761,10.49540606,0.0003652424861,13.00133757,13.67681077,18.83112058,13.56555672,id104,19.79903876,28.02130152,29.83590554,18.40138046,0.0005613321016,28.65225146,34.05488063,34.76750988,26.47453639
,id105,8.657143043,10.59723589,4.002683966,6.270117047,15.84177337,11.44999079,11.56177104,17.89595534,18.45134454,id105,7.767994897,11.98651587,4.076528755,5.357517052,12.39761409,10.47869368,10.75594204,16.31293086,16.31791803,id105,7.484573678,10.63156609,3.879911807,4.559856761,11.6633432,10.33527098,11.01507891,17.4913112,15.7521394
,id106,8.977949456,0,3.467947473,5.741826114,0.06634979658,0.7044066191,2.745529985,13.4225493,3.2904034,id106,7.647510042,0,2.531146643,5.689038931,0.04909322919,0.6582304876,2.261344075,8.175129627,2.627485862,id106,11.42638241,0,3.189868687,7.63666806,0.05286729941,0.6494998371,2.902446399,12.51161045,3.279431124
