,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,14.12323247,4.70244611,11.47436485,10.27935113,14.25101148,2.354475702,0.3154172554,0,5.330791639,id1,4.450526934,4.856669731,11.18281961,7.529528176,10.61757472,1.22680926,0.2362417229,0,4.357366589,id1,5.355470865,4.766055452,10.87942112,8.395547701,14.51441432,1.238177854,0.2977771783,0,7.515991941
,id10,3.512626633,5.664376319,8.640206536,1.237530074,11.40479132,10.72807517,3.166111408,16.16716088,12.13557463,id10,5.190460192,3.71778871,9.388798697,0.3438082727,10.67071059,11.51262963,3.750063015,14.13816656,8.920939201,id10,3.906691295,4.978928003,11.9674483,0.3466194494,17.16696948,13.89496364,3.371334755,15.89151543,11.58690227
,id100,11.63459492,10.20124985,8.490839735,11.02674835,8.143043902,14.85785977,17.88360847,12.07605192,20.85460958,id100,12.92586323,10.12334953,6.03890386,12.05766327,7.186978813,15.42786628,24.37198245,13.67913146,22.11396847,id100,15.85802567,11.46428758,6.59370376,15.53122968,7.336326715,22.18894746,35.80175021,17.92020137,34.92742107
,id101,16.80486132,17.68144107,17.28899883,14.53519175,12.08322529,18.30688356,14.03818991,18.74316292,20.95327151,id101,12.4640495,12.19905062,14.05943876,11.15524404,9.537652048,14.56742154,12.04373916,15.85756051,12.83182646,id101,23.21867861,12.70254216,24.05819739,20.14883632,10.88693217,18.72915457,17.33657072,17.72990582,18.31655844
,id102,24.29515408,19.12625879,20.78865342,6.77619276,15.13327185,22.14593154,23.9585446,13.74355695,19.07030925,id102,20.49236296,13.06671219,15.53454265,5.829623292,13.47852939,18.49671595,20.98644965,10.69791797,12.00187383,id102,20.68392707,11.33983871,21.75996727,5.813385529,18.47333136,28.57805117,22.48020637,9.857176471,16.19572083
,id103,22.67485287,19.51796218,18.85265718,12.61740774,21.52843327,23.70039745,11.8670773,5.303601101,9.398213026,id103,13.59743491,16.05830811,17.87295134,9.562739754,13.28362165,13.87667347,9.421700008,5.7963595,7.335309837,id103,30.85594163,23.91008176,36.56198605,19.17548087,33.1283665,28.41355493,20.99105744,7.718839712,15.36939326
,id104,13.3202815,17.83102602,12.75983854,19.03797379,2.483462812,17.50680435,16.56233912,15.52283734,17.05582328,id104,14.10196574,14.2256504,12.04180488,16.25271771,2.208519661,14.09854489,13.29754452,17.3451953,17.79283314,id104,23.83413215,39.97557119,22.3993034,33.50319862,2.988236616,34.64171705,29.27705354,29.72255976,31.06846398
,id105,11.48435789,17.28566171,8.26423863,14.12358972,19.37225288,19.34368009,15.45610601,19.76580398,19.50733953,id105,9.294300083,18.3755642,5.947890043,9.633627139,18.94350251,13.58270401,11.14191245,19.28195271,19.2718386,id105,8.372852562,16.55492296,6.016548928,12.86626926,16.91384922,17.50046741,9.123264928,17.3381346,15.35409673
,id106,1.118477142,0,9.064866382,15.02236481,13.79647391,5.018631532,16.39984153,13.65564125,3.529345685,id106,1.503112058,0,5.968325041,11.07774686,11.39381467,4.693695269,13.95965078,6.937657718,3.293265982,id106,2.172144233,0,8.513748109,15.28228793,12.88708883,4.920271424,18.1875097,9.330634536,3.423356938
