,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.0005088294842,0.0002710458251,0.00002900146316,0.00002467101078,0.0004236810271,0.000004943933997,0.000000001728036153,0,0.00006702760671,id1,0.00003613534024,0.0001036254373,0.00001097485167,0.000008671613731,0.0003106557027,0.000001449869714,0.0000000006139795089,0,0.00004087856298,id1,0.00005334165125,0.0001057977516,0.000009885784818,0.00001112053514,0.0005769594137,0.000001166616904,0.0000000009616121523,0,0.00007586117984
,id10,0.0001701980248,0.0001919855143,0.0003303127784,0.000001463359637,0.0002898013529,0.0003423190584,0.00008839583072,0.0002812017576,0.0002829962382,id10,0.00009694899316,0.00009817532677,0.0002096052443,0.00000007743916244,0.0003088687782,0.0002569947896,0.00005798884887,0.0001063955756,0.0001591937817,id10,0.0001013451963,0.00007859106948,0.000290149699,0.00000007836261602,0.0006931918119,0.0003597846222,0.00008118011797,0.0001628595349,0.0002909842206
,id100,0.000191965996,0.00006496154278,0.00009632024519,0.0002201588946,0.0002266691395,0.0005198418402,0.0007845785765,0.0004408429592,0.0007287282355,id100,0.0002327557257,0.00004046778924,0.00001052150048,0.000287196575,0.0001791704352,0.0005109527819,0.001104810934,0.0003920134518,0.0008737371589,id100,0.000171245288,0.00003995692684,0.00002660379507,0.0006902604703,0.0002312465163,0.0006634455432,0.002762532266,0.0006049780778,0.001955901184
,id101,0.0007312602093,0.0003862543097,0.0002874669221,0.0002361889336,0.0001609140109,0.0004161277439,0.000206236154,0.0008197806602,0.0008449514877,id101,0.0005054382157,0.0001368429531,0.0001404732264,0.00006068268609,0.0001015469139,0.0002246424568,0.000158046046,0.000386123712,0.000437672745,id101,0.0007920709828,0.0002951723093,0.0002398044689,0.0001034942733,0.00008232327334,0.0005756488065,0.0001796379824,0.0007530793263,0.0007688584064
,id102,0.0009992025587,0.0005852005891,0.001133542378,0.0003629012676,0.0006405338558,0.0009178170478,0.0006263110836,0.0005367810685,0.000423615019,id102,0.0004628052641,0.0003856497604,0.0003353729902,0.00008352279364,0.0003944967939,0.0005037230571,0.0004614831754,0.0002018649011,0.00009262300365,id102,0.0006198995172,0.0003352332868,0.0009097579179,0.0001132385367,0.000656832112,0.0009893448283,0.000430300234,0.0002941732035,0.0001878844347
,id103,0.0005773499668,0.0004351185376,0.0004404362348,0.0005127913239,0.0007798996891,0.0006454269805,0.0007354201084,0.0000696704649,0.0003147901721,id103,0.0003077291748,0.0002235617783,0.0003764315877,0.0002728254457,0.000416480401,0.0005170484176,0.0003624398771,0.00003686771521,0.0002265814215,id103,0.001627962069,0.0005524984382,0.001308264707,0.001715976017,0.001737874093,0.000920988725,0.001743687396,0.0000441271653,0.0007421669648
,id104,0.0004270608227,0.0006111733621,0.0006540846894,0.0006889136318,0.00009004046698,0.0005541608808,0.0003625570473,0.0005144663457,0.000447504058,id104,0.0006688950718,0.0004448161687,0.00051680467,0.0006331438857,0.00005349481985,0.0003039295518,0.0002592861173,0.000532198506,0.0003625769599,id104,0.001009626641,0.003376919554,0.002478767744,0.00206692958,0.00006488435981,0.001964551414,0.001053533823,0.002226263942,0.001359386102
,id105,0.00008218685925,0.00008457555648,0.0000698466416,0.0002695899928,0.0004756209952,0.0004323637461,0.0004323843212,0.0006659245254,0.0005429850115,id105,0.00008312798651,0.0000715411389,0.00004388847203,0.0002647996534,0.0003350768524,0.0003095909674,0.0002344455549,0.0006935046142,0.0006354457223,id105,0.0000674349753,0.00005033519683,0.00005783742753,0.0002848671175,0.000603819309,0.0003899316915,0.0001963507432,0.0005726366888,0.0008894459593
,id106,0.0008271180283,0,0.0001462004986,0.00005086999485,0.0002505444792,0.0003634114584,0.0001780585381,0.0004108341842,0.0002700306332,id106,0.0004181509001,0,0.00005948577501,0.00002823475587,0.00007595435322,0.0002214484824,0.0001605009915,0.0001397795621,0.00008791377972,id106,0.000679415626,0,0.00004574567917,0.00004197899369,0.00002916160806,0.0004818548104,0.0002162402874,0.000278198907,0.00007669563113
,id107,0.0005667118402,0.000857215912,0.0005163479869,0.0003709547123,0.0007990608343,0.0006659392572,0.0007227698527,0.0006081161995,0.0007531766732,id107,0.0005199465935,0.0004977332369,0.0003009768998,0.0004556096244,0.001101679856,0.0005184935861,0.0009364938832,0.0002721371961,0.000581002029,id107,0.001143796571,0.0009232749296,0.0007736781413,0.0009961807641,0.002622118691,0.0009686891208,0.001497876166,0.0002223429879,0.001118686296
,id108,0.0003695702878,0.0005770903691,0.0001286443321,0.0002789021496,0.0004852550436,0.000394107242,0.0003511168865,0.0006196030393,0.0004880940521,id108,0.0001901942289,0.0003109412974,0.00004106160178,0.0001359073865,0.0002346105561,0.0001469077008,0.0002146865292,0.0004449645033,0.0003212184146,id108,0.0008830202658,0.0006737995105,0.0002412089287,0.0007797394162,0.001329565997,0.001291980228,0.0003229864286,0.001260580836,0.0004628245583
,id109,0.0007187009534,0.0006561348675,0.000676511862,0.0006339629184,0.0001938388112,0.0005091133982,0.000460571271,0.0007889399543,0.0002399549702,id109,0.0005894175946,0.0004609266132,0.0007146948139,0.0004440923846,0.00009932599692,0.0006612104516,0.0002548906164,0.0006309059577,0.0001486678348,id109,0.001633459804,0.002502384144,0.001998321575,0.001260792966,0.0001985922195,0.001043834432,0.0005700969811,0.00161088459,0.00029782336
,id11,0.0004644301328,0.0002522683579,0.00000002971859751,0,0.000000007353395642,0.0004747179035,0.00006739314144,0.0006093559257,0.0001331672159,id11,0.0003384940699,0.0001448852897,0.00000000560211472,0,0.000000009848223308,0.0004020085622,0.00002910253408,0.0004765885102,0.00003007876101,id11,0.001118003198,0.0003920235376,0.00000001512469931,0,0.00000001046195221,0.0008396557275,0.00007437317962,0.002454895614,0.00002813334385
,id110,0.0002520842557,0.0007425346329,0.0007661316748,0.000743375704,0.0002335849287,0.0004259432631,0.0002507674234,0.0005896799463,0.0006337258587,id110,0.0001431654577,0.0004738134389,0.000700486148,0.0004499685116,0.0001775819603,0.0004078046179,0.0003240031075,0.00036136149,0.0002390504796,id110,0.0003892762938,0.002685093861,0.002589264104,0.002120551894,0.0003869731392,0.001243798885,0.0007318144453,0.0008853520117,0.001361045423
,id111,0.000234009668,0.00000004836817565,0.000171255126,0.0001696284466,0.0002770735425,0.0006815735756,0.0001477207183,0.0003713681418,0.0003003049641,id111,0.00009561700989,0.00000001174978719,0.00009875924538,0.00005209743621,0.0001345690333,0.0003327366039,0.00005618711287,0.0002157020334,0.00006672917082,id111,0.00007089392897,0.000000008312378076,0.00008881709788,0.00008112878617,0.00009379430204,0.0003260167124,0.00005025523623,0.0001627199093,0.0001221958303
,id112,0.00002263470286,0.0002749974197,0.00007978150576,0.0006523221252,0.0006856755421,0.0007344752483,0.0004380929953,0.0003883414368,0.000713312003,id112,0.00001040812895,0.00008131046979,0.00004486577815,0.0003093838391,0.0002309774796,0.0004631911446,0.0003344889017,0.0003039336711,0.0004787895158,id112,0.00001651530143,0.0004211201528,0.0002649188261,0.001462275119,0.001287793851,0.0007384157467,0.0009274939613,0.0007791429657,0.001804756545
,id113,0.0005671355043,0.0009042769767,0.0007749506869,0.0006881119362,0.0007314353271,0.0008154599903,0.0007880458575,0.0005240877147,0.000598161392,id113,0.0003390686255,0.000324156584,0.0002991889956,0.0003814992713,0.0004734776837,0.0004359327733,0.0003214057149,0.0004758042484,0.0004836914028,id113,0.002623770801,0.003129146089,0.003018013747,0.003120435339,0.002878460347,0.003317218867,0.002829597807,0.002608274235,0.002672606511
,id114,0.0001348650104,0.00008166027878,0.0003676388652,0.0006188572484,0.000125297836,0.00074459581,0.000553064626,0.0001116788533,0.0006114423257,id114,0.0001074752752,0.00002948506914,0.0001728690733,0.0006346805379,0.0001021522063,0.0007867556078,0.0003860293247,0.0000605556594,0.0006933141186,id114,0.0001002606053,0.000057580524,0.0006036170202,0.001674946651,0.0001877660676,0.002068010258,0.001181376876,0.0001241607729,0.002276822656
,id115,0.0003461464336,0.00004488677998,0.00004123972771,0.0000444978372,0.0001920587828,0.0001852409821,0.000004161608664,0.0002302254225,0.000755255677,id115,0.0001633994188,0.00002074265871,0.00002397669641,0.00002561066497,0.0001936429428,0.0001376739391,0.000003854763214,0.0001025341884,0.0007004650233,id115,0.0002746526539,0.00002818410052,0.00001802369547,0.0000382748987,0.0002301535184,0.0001519291069,0.000003058200073,0.0001355925722,0.0004765261224
,id116,0.0005796368916,0.0006933901243,0.0007261866338,0.0005275415222,0.0006319955086,0.000600864608,0.0003574584822,0.0008035203034,0.0004528296609,id116,0.0005917221312,0.0002027229216,0.0005090157918,0.0003955688627,0.0003981670729,0.0003534915732,0.0003096482727,0.0003922558173,0.0002711348298,id116,0.00140805979,0.001406038791,0.003262215867,0.001277462451,0.003299342988,0.002808405716,0.00185214345,0.002791500758,0.001765176855
,id117,0.0002849255317,0.0004254634046,0.0009727466111,0.0003774651784,0.0001157429554,0.00009112458194,0.0006348846078,0.0002391529607,0.0004820229558,id117,0.0002913807571,0.0005214200542,0.001360627316,0.0003772519992,0.0002042880068,0.00006342988371,0.0009626424919,0.0003115532738,0.0006856229217,id117,0.0003692888546,0.0008194735593,0.0009330334569,0.0004122425308,0.000142770255,0.00009421233985,0.0006304035939,0.0005199924407,0.0005613845237
,id118,0.00006105980815,0.000143272374,0.0000878134142,0.00009039576119,0.00008221531727,0.0001113639414,0.00003324981913,0.00009500437012,0.00002355494603,id118,0.00003666587687,0.0001052318794,0.00003627689213,0.00004953786796,0.00003070229563,0.00004233012304,0.00002458478328,0.00005621878428,0.000008891197593,id118,0.00008952573815,0.00005894096495,0.00004834922287,0.00004026012184,0.0000450108966,0.00004566415865,0.00002381467256,0.0000528041057,0.00001321408234
,id119,0.0001399580941,0.0004950458709,0.0008088617528,0.0006342875049,0.000689604348,0.0006842869343,0.0005231436012,0.0006766299805,0.0006034438469,id119,0.00008468380222,0.0004421594945,0.0004915951938,0.0004036478777,0.0005558731074,0.0004941006544,0.0003580701847,0.000538097179,0.0003832246304,id119,0.0006774975689,0.001924359898,0.003490719887,0.003027084474,0.003506913984,0.002959205646,0.00286892018,0.003038385796,0.001104001619
,id12,0.0005407804511,0.00003118766246,0.000141576165,0.0007114208702,0.00006890634011,0,0.0006621481374,0.0004924783554,0.00005741175077,id12,0.00031563676,0.00001221461873,0.0000347363299,0.0002898901982,0.00003068758122,0,0.0003267353727,0.0003267838615,0.00001948200464,id12,0.0005746634895,0.00001766736293,0.00005643895518,0.000370142376,0.00004803568993,0,0.0007243044769,0.0004269523404,0.00003385990743
,id120,0.0007713746048,0.0004817293849,0.0001807092348,0.0006774267232,0.0007382632108,0.0007681349517,0.0005911838161,0.0007967971562,0.0005932068706,id120,0.0004549562907,0.0002023237202,0.0001148844216,0.000513189346,0.0004930253974,0.0006770742973,0.0003752338924,0.0005500927621,0.0002643188978,id120,0.002980425266,0.0008939403336,0.0001600925398,0.002995278499,0.002940157757,0.003784372176,0.002061432619,0.002020228671,0.001271902219
,id121,0.0003948841526,0.0004134010743,0.0005860168571,0.0005120739125,0.0005912050295,0.0005973955238,0.0004063584748,0.00009013593559,0.0005546840442,id121,0.0002079779665,0.0001937784739,0.0003208704501,0.0002540707113,0.0002576286056,0.0003749649924,0.0002387314224,0.00003042450801,0.0005616983495,id121,0.0006787790145,0.0009117716413,0.001077790897,0.0008978565339,0.001222584365,0.001413663851,0.0009070500485,0.00005543516118,0.001388504172
,id122,0.001033905354,0.0008140898553,0.0003559799523,0.0004238029829,0.0002745998662,0.00000001361503591,0.0003615129575,0.0006814077932,0.000434636535,id122,0.0006540227976,0.0003291444528,0.0002764118813,0.0003265602166,0.0002913477886,0.00000006914325758,0.0003444914633,0.0005715181873,0.000415531933,id122,0.002874452833,0.00196427422,0.001458696667,0.0003938601812,0.0006227670666,0.0000001336418905,0.001349804994,0.001695057538,0.0006851830195
,id123,0.0008379150613,0.0001084537181,0.0005374439377,0.0008350781783,0.0006298374768,0.0000009197149528,0.0005599584763,0.0007333285067,0.0004428197192,id123,0.0006847364387,0.00004061555298,0.0002300888138,0.0006731237933,0.0004075822194,0.0000007306503932,0.0003865288191,0.0005016349528,0.0003302694317,id123,0.001563348748,0.0002046590343,0.0008430839131,0.001977656574,0.001119541132,0.000003490651079,0.002615142438,0.001832261969,0.0009509810748
,id124,0.0003472230272,0.00000002054747957,0.0002627448926,0,0.0001500608187,0.0005083364513,0.00002172905118,0.00006921004135,0,id124,0.0001758822457,0.00000003871548236,0.0001408508441,0,0.00008357999968,0.0002391675105,0.000005618884386,0.00002179640546,0,id124,0.000174745885,0.00000001766807301,0.0002446586701,0,0.00006827920535,0.0002449011936,0.00001001294912,0.00003189788204,0
,id125,0.000003113866163,0.0006239199186,0.000319168651,0.0002334342733,0.0007414953317,0.0006017976325,0.0006070219349,0.0006501859602,0.0005616669141,id125,0.000001334613336,0.0002494366409,0.0002048420994,0.0002152680886,0.0005159908239,0.0004180009839,0.0003073569995,0.0006531938429,0.0004829038728,id125,0.000003050517956,0.001320313275,0.0006856619048,0.0006191610883,0.001776763402,0.002135786683,0.001802197989,0.002602181735,0.002102653267
,id126,0.0005132383346,0.0004464621322,0.0007201856526,0.0004223362265,0.0004716834414,0.0003612795458,0.0004074918483,0.0003469843145,0.0001070471276,id126,0.0003752424768,0.0002605128731,0.0006759308165,0.000296354866,0.0006465029443,0.0004318259003,0.0003474628605,0.0002206785004,0.00003607855758,id126,0.0005454945365,0.0001695069143,0.0006121695322,0.000316059629,0.0003464265827,0.000373458996,0.0003463521305,0.0002906085011,0.0000399911394
,id127,0.0006775169515,0.0009638003616,0.0004947107612,0.0007165848329,0.0009460463466,0,0.0004930201849,0.00002950357654,0.000271274977,id127,0.0005181052715,0.0006197387051,0.0004000530483,0.0004598908449,0.0006167228088,0,0.0003036267964,0.00005265205253,0.000163482445,id127,0.00103867573,0.0006460754775,0.0005012733919,0.0009887235585,0.001803758323,0,0.0004001900246,0.00004233895842,0.0003005163021
,id128,0.0008017021119,0.0003009238278,0.0004409463832,0.0008232761727,0.0005362506149,0.0007302930456,0.0008380104118,0.0001379676811,0.0008698713209,id128,0.0002669964229,0.0001914168208,0.0001593508045,0.0004736567905,0.0002509250591,0.0004958104836,0.0005390547062,0.00002878222832,0.0004441138963,id128,0.001201684496,0.000498612179,0.0006475567135,0.000920860555,0.001133320776,0.002198180353,0.001507124854,0.0002376536908,0.001301181182
,id129,0.0007657826715,0.0003955055045,0.0002485619514,0.0004568480359,0.0002947303924,0.0006219062242,0.0003250660315,0.0005985088303,0.000002363227074,id129,0.0005536338854,0.0003863784589,0.0002346547203,0.0002768562111,0.000195263921,0.0002278988608,0.0001466031209,0.000403985496,0.000002827280847,id129,0.001381062565,0.0003771845779,0.0002553163175,0.000572703596,0.0002417152066,0.0004911539362,0.0002070075262,0.0004790041788,0.000002847609711
,id13,0.0001228163395,0.0005616490885,0.000566101819,0.0001621599811,0.000240800254,0.00008824167078,0.0002768440569,0.0002674073413,0.0002601972658,id13,0.00007687632856,0.0004095189571,0.0001572895381,0.0001209285277,0.0001635923802,0.00008122066087,0.000116321836,0.0001444613393,0.00007697411455,id13,0.0000847698937,0.0004322986389,0.0003417013749,0.000145060549,0.0004766505848,0.0001972645039,0.0001849742671,0.0001184942043,0.0001561814421
,id130,0.00000002909268129,0.0000001226342729,0.00005852089688,0.00000176622515,0.0006473760302,0.00006805288738,0.0005065663269,0.0007247362631,0.0007028866157,id130,0.00000003618829147,0.0000001164789236,0.00003323318062,0.000001460394387,0.0006961653651,0.0001018453263,0.0004350564059,0.001170924205,0.0009476092586,id130,0.00000002296038517,0.00000009795320462,0.0000536386101,0.000001566073359,0.0006145621086,0.0001026384428,0.001553891632,0.001318971968,0.0008146764141
,id131,0.00007248992212,0.0000005099509183,0.0001411718837,0.00007958011591,0.00001734522253,0.0006552978542,0.00004420169978,0.00001010446623,0.00008132569435,id131,0.00004145830377,0.0000002754163352,0.0001455742183,0.00004189325538,0.000009971493141,0.0004259112785,0.00002243143908,0.00001011033828,0.00003062571694,id131,0.00009322104397,0.0000004679504001,0.0001091213729,0.0001841038134,0.00001014112426,0.0006652439463,0.000100788682,0.00002261472317,0.00008396125979
,id132,0.0002384707153,0.0003403924515,0.0005346145893,0.0002637970195,0.0003811962938,0.0007374803673,0.0003700073284,0.0007407586798,0.0006474186452,id132,0.0002182165495,0.0002641597607,0.000366833532,0.00009572859483,0.000214107234,0.0002688286167,0.0004246334893,0.000449630093,0.0004272258699,id132,0.0007861758182,0.001772371859,0.002889832373,0.000816799283,0.001973342171,0.004559872584,0.001783557177,0.004041989348,0.003969169296
,id133,0.0006949713847,0.0007664970612,0.0006279518003,0.0007271005204,0.0004894294547,0.0006350013092,0.0006511353427,0.0005881713593,0.0009689325572,id133,0.000664281788,0.000539657822,0.0005234347242,0.0009691302406,0.0005325133667,0.001174090082,0.0007420428851,0.000291781785,0.0005010633636,id133,0.001699740481,0.0008684220896,0.00105141428,0.0007590832289,0.0009933180139,0.001968044845,0.001925943353,0.001631836318,0.002050244774
,id134,0.0003003655044,0.0001901666737,0.0004249729285,0.0002426151019,0.000327632903,0.0003080272826,0.0001705073924,0.000643447295,0.0004592938458,id134,0.000233639071,0.00008740443689,0.0001790795368,0.00009110396734,0.0001187241483,0.0001110196023,0.00006576188975,0.0002979160497,0.0001883693387,id134,0.000181847787,0.000103861424,0.0003442559906,0.00008357777118,0.0001578618168,0.000217867942,0.0001303167367,0.0004752749033,0.0004145951542
,id135,0.0004457053724,0.0007298382858,0.0005913094517,0.0005480423015,0.0005666440322,0.0006622268575,0.000613908116,0.0005496015489,0.0005983367072,id135,0.00029945877,0.0005563303383,0.0004140439332,0.0003110359312,0.0005765652525,0.0005626953156,0.0005776969552,0.0006785376689,0.0004792645111,id135,0.0007772533815,0.002523603381,0.001632900459,0.001375497621,0.002270213537,0.001742584086,0.002087112666,0.002477260658,0.001993691267
,id136,0.0006384649062,0.0005533090463,0.0005480458004,0.0004893476591,0.0004726430068,0.000522451488,0.0008595065176,0.0007383868906,0.0002097418084,id136,0.0006449777515,0.0003661355595,0.0005083114495,0.0004505660226,0.0002820547701,0.000414898775,0.0006929851477,0.0007389725213,0.0001005750999,id136,0.002081007062,0.001651184659,0.002306011721,0.001684408877,0.001835304105,0.0006971545045,0.002429885414,0.002529654914,0.0009642045088
,id137,0.0001894490529,0.0002995233185,0.0001049686838,0.0007335174514,0.0001804279361,0.00005449648216,0.0001000965057,0.0004229573381,0.0002692285716,id137,0.00009574232336,0.0001076769325,0.00004090213884,0.0002586240212,0.00007911226706,0.00002217359272,0.00005063449364,0.0001610649617,0.0001100202016,id137,0.0002787127924,0.0003254138492,0.0002205150376,0.0007452853566,0.0001011330002,0.00002667202837,0.0000752446887,0.000551468154,0.0005207616735
,id138,0.0005429327279,0.0005657363952,0.0006633958838,0.0004073461115,0.0005441699126,0.0006036957526,0.0004859212311,0.0003265773248,0.0006272800599,id138,0.0003543958645,0.0004968065409,0.0004503094727,0.0004431262028,0.0005237956416,0.0003892372247,0.0003753491678,0.0002665483304,0.0002264772834,id138,0.0008608012367,0.001243989701,0.002487633907,0.0009240082024,0.001369941575,0.002026063074,0.002052083253,0.0009307839982,0.0003499146869
,id139,0.0007890160595,0.0008823884862,0.000722046855,0.0007214030817,0.0009852579233,0.0008157326897,0.0006702254098,0.0006715723254,0.0005292393925,id139,0.0004512874887,0.0004957740756,0.0005599315791,0.0004222335215,0.0002629656485,0.0005365931846,0.0005478575097,0.0003887936796,0.0003129303144,id139,0.002852972627,0.002973064222,0.004094845644,0.003366975791,0.003306229621,0.003718052995,0.003176159319,0.002362284056,0.002119862799
