,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.0003764201811,0.0001679554256,0.0003194507974,0.0002483648113,0.0005471683107,0.00001035045009,0.0000003202350736,0,0.00007700972806,id1,0.00003275903869,0.0001482393001,0.0002627880318,0.0001088447931,0.0002351424744,0.000002654511573,0.0000001139318155,0,0.00004461089701,id1,0.00004458733684,0.0001154862916,0.0002584858268,0.0001427599747,0.0004638069383,0.00000278847702,0.0000001782374673,0,0.000134891444
,id10,0.00008946694442,0.00008349989925,0.0001557257304,0.000005832019057,0.0003348259677,0.0003586679299,0.00006625189765,0.0005246590599,0.0003559666887,id10,0.0001639688,0.00003780135727,0.0001740054331,0.0000003086304809,0.0002511202789,0.0003534521832,0.00008927772464,0.0003791072277,0.0001806958458,id10,0.00008220307868,0.00008820481088,0.0003183441987,0.000000312316443,0.0007635829275,0.0005015166392,0.00005167111339,0.0005274733438,0.0003352336853
,id100,0.0003562023048,0.0002486394598,0.0002651278753,0.000351847529,0.0003220860761,0.0004210991639,0.0005543365553,0.000398208567,0.0007202468438,id100,0.0004338447247,0.0002246833684,0.0001082175703,0.0003519302657,0.0001746042145,0.0004385106722,0.0009297934347,0.0004797291469,0.0008018320434,id100,0.0006485311673,0.0002704315293,0.0001211800178,0.0006136263112,0.0001879653383,0.00100527041,0.002048881914,0.0007998137347,0.00192899439
,id101,0.0005004409905,0.0005131209096,0.0005683856152,0.000399253394,0.0002810882016,0.0005432246856,0.0004176440441,0.0005911887532,0.0007444715486,id101,0.000275903358,0.0002261092829,0.0003188120749,0.0001989571826,0.0001561412183,0.0003461803446,0.0002536895265,0.0004583679428,0.0002620454736,id101,0.0009859404789,0.0002681559349,0.0009777859165,0.0007377330531,0.0001878009408,0.0005739904949,0.0005395062667,0.0005486526474,0.0005717734408
,id102,0.001064909372,0.0006556435603,0.0007692993251,0.0001389146818,0.0005178596553,0.0008794488721,0.0009468207433,0.000369342899,0.0006151598713,id102,0.0006817517957,0.0003127496904,0.0003977520463,0.0001107724596,0.0003521982472,0.0006072772965,0.0007135798312,0.0002719386861,0.0002465444886,id102,0.0007117245409,0.0002258574427,0.0007531351072,0.00007966314133,0.0007635070642,0.001454855487,0.000763125649,0.0001878343632,0.0004265127132
,id103,0.0009336400608,0.0007865144788,0.0006202408181,0.000390652039,0.0008498279316,0.001005688519,0.0003791571343,0.0001551935267,0.0002362994473,id103,0.0003152411418,0.0004527716441,0.0005331415783,0.0001912710499,0.0003011996337,0.0003235374384,0.0002229240712,0.0001291076418,0.000118214144,id103,0.00174416429,0.001129880978,0.002191025476,0.0008468744966,0.002037786826,0.001359829661,0.001132965996,0.000237655113,0.0006179162316
,id104,0.0004136190245,0.0005872876244,0.0003958937704,0.0006620860473,0.0000928300726,0.0005941446278,0.0005745792149,0.0005359671711,0.0005652625726,id104,0.0003864883114,0.0003382091273,0.0002860578067,0.0004688089199,0.00004130774962,0.0003663689389,0.0002781471434,0.0005548966982,0.0005412126381,id104,0.001124813111,0.002707029368,0.001222176642,0.002222654366,0.0000920048529,0.002120612575,0.001615660972,0.001710664466,0.001638286786
,id105,0.0002467600614,0.0004714793132,0.000159154549,0.0004936305525,0.0006793547647,0.0006961533227,0.0004120230789,0.0006798065754,0.0006809031608,id105,0.0001654832475,0.0005105702819,0.00006929436212,0.0001964022745,0.0006562622574,0.0003080013698,0.0001867108656,0.000620508608,0.0006526363832,id105,0.0001378353546,0.0004321459228,0.00007196653273,0.0004542620433,0.0005042895143,0.0005376955335,0.0001400219253,0.000497161603,0.0004240580103
,id106,0.00001176146093,0,0.0002188889541,0.0004059756608,0.000466856532,0.00005793538492,0.0005794805848,0.0004328604229,0.00003077777855,id106,0.00001283862429,0,0.00007246195322,0.0002510280178,0.0002696936433,0.00004259893438,0.0003391627347,0.00008273234036,0.0000231753241,id106,0.00002540833484,0,0.0001703564134,0.000414597449,0.0003412573596,0.00005264599946,0.0005647955007,0.0001514264222,0.00002739744611
,id107,0.0003620481494,0.0007398522658,0.0006685228652,0.0006323777207,0.0009405104574,0.000296795759,0.0009245977118,0.0004264086355,0.0006477505276,id107,0.0001952420031,0.0004203620241,0.0003500418049,0.0009262897738,0.0007701179179,0.0003277377834,0.0004902703134,0.0002038488361,0.0005313699374,id107,0.0002863224949,0.000734731496,0.0005314645719,0.002170714502,0.002052821271,0.0003966907581,0.001400972965,0.0002677713413,0.0009519188433
,id108,0.0004480732009,0.0006792546744,0.000385878225,0.0002819824905,0.0004505507792,0.0003592384095,0.0001634898124,0.0005785967684,0.0003667933651,id108,0.0001431082546,0.0004625659027,0.0001457299797,0.0001024914976,0.0002419566853,0.0001414629906,0.000110451294,0.0004578983078,0.0003187588271,id108,0.001135687013,0.0007392382787,0.0007732805599,0.0008039461671,0.001187197575,0.001221029488,0.0001096057307,0.001002755803,0.0003262262556
,id109,0.0003818884661,0.0007064887956,0.0004634649458,0.00001041275546,0.0004487614652,0.0004484025192,0.00007670964269,0.0000282814383,0.0004400411341,id109,0.0003405404165,0.0003912366629,0.0003962088838,0.0000157909531,0.0003652882118,0.0003980283783,0.00009773567205,0.00003685547265,0.0002165249834,id109,0.0004245196296,0.001454809991,0.001713702721,0.0000176593339,0.0004977982546,0.0005992294892,0.0002201326025,0.0001163466701,0.0007982081386
,id11,0.0004496360428,0.0004008921947,0.00000008679292579,0,0.0000005463204771,0.0003460694688,0.0001827857624,0.0006892280266,0.00003845853873,id11,0.0002515611423,0.0002097190347,0.00000001007497114,0,0.0000007307846526,0.0002340991417,0.0000803863629,0.0006688743652,0.00000328619146,id11,0.0009730022178,0.0005812498752,0.0000000374156522,0,0.0000007770088566,0.0009418016804,0.0003837267871,0.002289061237,0.000006347857601
,id110,0.0009402349529,0.0005386072057,0.0005346744614,0.0005785677988,0.00009874324447,0.000351851846,0.00007406421806,0.0002153847069,0.00064533604,id110,0.0005251995647,0.0002262531806,0.0003419558762,0.0003073952927,0.00007604362253,0.000270000815,0.00004742741595,0.0001575724549,0.000376796339,id110,0.002292159835,0.001421655527,0.001288681668,0.002281832179,0.0001844294427,0.0008987593796,0.0000821293004,0.0001253908763,0.001791888604
,id111,0.0001586932138,0.0000003057366519,0.00005135544271,0.0001121041448,0.0003135203568,0.00116183895,0.0002051019655,0.0004120901229,0.0002208685405,id111,0.0000582953483,0.00000007430364655,0.00002637734656,0.00004954608728,0.0002014035027,0.00067254257,0.0000952086606,0.0001288945662,0.00009922949912,id111,0.00005701986569,0.00000005252767433,0.00003344523138,0.00005619726582,0.0001633697215,0.0005803837013,0.00008524782454,0.0001523927626,0.0002136002384
,id112,0.0001208764408,0.00007820554915,0.0002301189127,0.0004980881439,0.00005855704483,0.0001195526958,0.0002221223048,0.0001713958965,0.0005965958399,id112,0.00007768098711,0.00004705377103,0.0001414367315,0.000205449523,0.00008311549655,0.00004471199584,0.0002026772709,0.0001235595184,0.0003454676809,id112,0.0000818454459,0.00007380840072,0.0004695912138,0.0007697817888,0.00004222577342,0.0001126348988,0.0004947563377,0.0001546986553,0.001735518007
,id113,0.0003547763629,0.0006704761379,0.0005707594741,0.0006584278442,0.0005768230635,0.0008183498592,0.0006839180208,0.0007767504625,0.0006715999891,id113,0.0001966965675,0.0002908270043,0.0002778459458,0.0005065998718,0.0003707229635,0.000533495141,0.0002654527964,0.0004310222517,0.0003735477821,id113,0.00159887127,0.003126921648,0.003490542421,0.003522126136,0.003330283066,0.00405010403,0.002421626872,0.002813068252,0.00287383063
,id114,0.0003305224643,0.0002579433484,0.0005236749118,0.0005865182739,0.0006897872781,0.0007417792579,0.0004999835679,0.0002322221132,0.0005506638036,id114,0.0001914787093,0.0001553581549,0.0002033513326,0.0004052305102,0.0004266043189,0.0008317199195,0.0004003846922,0.0003203439875,0.0004817949947,id114,0.0005810030413,0.0004546369754,0.0008736443729,0.0008285152673,0.002353953964,0.002120793696,0.001280753576,0.0008423190683,0.002070175148
,id115,0.00007693847979,0.0004350435155,0.0001867215788,0.0001278757266,0.0004199025692,0.0003421759765,0.00004668256116,0.00009502444433,0.0007470016796,id115,0.00006384222399,0.0002487419416,0.00009140588881,0.0001034088425,0.0002802120714,0.0002968202709,0.00003920729852,0.00006948279673,0.0005439641505,id115,0.00005687955577,0.0001599537825,0.00005523097876,0.00006889221473,0.0003091414463,0.0003635274822,0.00002169659184,0.00007812970545,0.0005022904178
,id116,0.0003654417646,0.000382329416,0.0005769664207,0.000377771465,0.0005125169475,0.0004441624301,0.0003829855575,0.0006949729221,0.000428598986,id116,0.0002105821016,0.0002377690532,0.0003185846364,0.0003717095479,0.0005091303453,0.000252923019,0.0002345045198,0.0004769018178,0.0002049563409,id116,0.0008482731475,0.001031976484,0.001977642842,0.001273146916,0.002828351133,0.002068374373,0.001602522464,0.002826966168,0.001480035841
,id117,0.000611652578,0.0006615246832,0.0003768942872,0.0008496558958,0.00005783569786,0.00009827276562,0.0007933313603,0.0001579308744,0.0004056705241,id117,0.0004312238216,0.0003416740403,0.0007342861099,0.0008193301017,0.00006192717314,0.00004850676393,0.0007606389175,0.0004312400792,0.0004131204262,id117,0.0005419393824,0.001056953222,0.0003320833785,0.0008187117087,0.00007285174366,0.00006305090086,0.0006377963426,0.0002339221947,0.0006537206716
,id118,0.0002044427785,0.0001769444168,0.0001305684672,0.0001532839512,0.0001739317017,0.000154841592,0.00009414393027,0.0001469716312,0.0001140954758,id118,0.00008598972017,0.0001099370663,0.00002898512082,0.0000953842855,0.0000746472046,0.00006346766734,0.00004036435657,0.00006962431522,0.00003454392985,id118,0.0001643312679,0.0001037040465,0.00003519942463,0.00007882146346,0.00006799586797,0.00007736641381,0.00005102874545,0.00009531597546,0.00004985450398
,id119,0.0001940471662,0.0007429206948,0.0007766181018,0.0005761773364,0.0009012305018,0.0005273175303,0.0006093093921,0.0008069266928,0.0006186810209,id119,0.0001242100546,0.0003739178308,0.0006120275737,0.0004559699012,0.0004670770396,0.0006060737071,0.0005524426172,0.0003832503563,0.0002470117926,id119,0.0004532817404,0.00274946095,0.003217546164,0.003224165313,0.003811522364,0.002169297639,0.002986615652,0.002660307561,0.001697407576
,id12,0.0008452011029,0.00003235174511,0.00002350482132,0.0002524640951,0.0007847012069,0,0.0006746385244,0.0005222350309,0.00001455472923,id12,0.0003126887881,0.00001219487945,0.00001280884331,0.00004200078031,0.0003414166755,0,0.0002961867984,0.0002058769402,0.00002106744879,id12,0.0007109926493,0.0000157300764,0.00002832967258,0.00005937644698,0.0009884158301,0,0.0006979253891,0.0004500528418,0.00002130974791
,id120,0.0003967258298,0.0005056202346,0.0001261677115,0.000631020645,0.0005856169508,0.0008722856395,0.0003742570166,0.0007390901159,0.0006056115808,id120,0.0002664229971,0.0003129943692,0.0001329346821,0.0003301698846,0.0004008548485,0.0006213265288,0.0003735658663,0.000420555551,0.000290283426,id120,0.001081794502,0.001119042633,0.0001314903164,0.003296457778,0.003047442245,0.004086681349,0.001780623641,0.002167846247,0.001520228501
,id121,0.0005166624168,0.0002789770935,0.0005747876955,0.0005207370602,0.0005609383615,0.0004809478776,0.0004116759756,0.00008815858946,0.0004686193706,id121,0.0003064323651,0.0002062458812,0.0003132642112,0.0002688369333,0.0003686334574,0.0004503343008,0.0003089891802,0.00003803622454,0.0004402654419,id121,0.001162631379,0.001060057632,0.0008179281166,0.0009777273298,0.001358009875,0.001320188573,0.001115108467,0.00008439098433,0.001354642088
,id122,0.001022933267,0.0007599330297,0.0005428830672,0.0005524658493,0.0003240441537,0.000000008989453893,0.0004351815323,0.0007643325186,0.0003144882639,id122,0.00045211638,0.0003677073811,0.0002710581193,0.0002820386555,0.0002451892524,0.00000004565200898,0.0004567330522,0.0003833157376,0.0002711428123,id122,0.003855484261,0.001869385279,0.001264457326,0.0007348722246,0.0004532500277,0.00000008824222368,0.001819166911,0.001801561676,0.0006913048055
,id123,0.0007490993776,0.0002536496861,0.0009614896199,0.0008861190749,0.0006783864881,0.0000001490330244,0.0005891188619,0.0006841943682,0.000458279241,id123,0.0006568793595,0.0001448981332,0.0003497664315,0.0006207194452,0.0005615883251,0.0000001183864687,0.0005681274033,0.0005813866608,0.0002248593791,id123,0.001791476245,0.0007660235246,0.002459771254,0.002314971566,0.002310505687,0.0000005655913779,0.002701377278,0.002643344747,0.001545518774
,id124,0.000205370065,0.00000004678274599,0.0001879051384,0,0.0001328121155,0.0002852173431,0.00001377362535,0.0000280150438,0,id124,0.0002943892774,0.00000004181676591,0.0001097415997,0,0.00008281813047,0.0001911738375,0.000003583072083,0.000006802058854,0,id124,0.0002363998809,0.00000007305853143,0.0002465875222,0,0.000160267427,0.0002805496426,0.000006870030102,0.0000180056228,0
,id125,0.0001681021415,0.0006427867967,0.0007019557816,0.0002730230237,0.0006530944383,0.0006764148353,0.0007331035258,0.0007466884984,0.0004511537909,id125,0.00006729113734,0.0003191639688,0.0003701177187,0.0003255668138,0.0005738113824,0.0003616298183,0.0004317145933,0.0005206163704,0.0003284978092,id125,0.0001273790091,0.001759649841,0.001704546557,0.0006980346049,0.001527087341,0.0022812323,0.001785079004,0.002356603086,0.002033538428
,id126,0.0006058213156,0.0004001821931,0.0008195667951,0.0004411648928,0.0007748699912,0.0003837265124,0.0006504482627,0.0005720951641,0.0001289034779,id126,0.0005620739949,0.0001794017684,0.0005158462839,0.0005923171176,0.0006155868038,0.0004819928395,0.0004126951373,0.0003817544579,0.00004732162406,id126,0.0003526551446,0.0002294076151,0.0004607724582,0.0003079425567,0.0004221844879,0.0003735879727,0.0004639386272,0.0003757772835,0.00006894159652
,id127,0.0006969417313,0.0007570224264,0.0006442950572,0.0005490364333,0.0002494123097,0,0.0002880050152,0.00003630821056,0.000372409276,id127,0.0004055140471,0.0004179761002,0.0006657543875,0.0003804838599,0.0002482968204,0,0.0001103232465,0.00005786633014,0.0001003316546,id127,0.0008078992898,0.000653783712,0.0006370993454,0.0007857245656,0.0007346576913,0,0.0004013518186,0.0001905050319,0.0001821873358
,id128,0.0006082929167,0.0003685505639,0.0006899052661,0.0005766232281,0.000431614839,0.0005721123401,0.001037900537,0.0001612721514,0.0007234545276,id128,0.0003355888099,0.0002068327765,0.0003026453484,0.0002683824923,0.0002332321768,0.0004964272045,0.0005801774599,0.00006574123336,0.000303051585,id128,0.0007941198496,0.0009924516083,0.0008206490497,0.0008462213568,0.0005709703067,0.001609751018,0.001243541107,0.0002277858495,0.002250609723
,id129,0.0009049549924,0.0004222754205,0.0002395886625,0.0002853738452,0.000310192915,0.0004225903344,0.0003014277604,0.0005862599216,0.000009922529023,id129,0.0003679980206,0.0003586219351,0.0002121613037,0.0001773733476,0.000171934164,0.0003132174932,0.0001571542521,0.0003792460602,0.000005699104795,id129,0.0009867069281,0.0007677469016,0.0002550134436,0.0004157213471,0.0002063714444,0.0005974278103,0.0001578585278,0.0005493707678,0.00001156806297
